Mapman_Bin	BinName	id	description	Primordia	Expanding	Mature	Figure
9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	258164_at	(at3g17910): Symbols: SURF1 | SURF1 (SURFEIT 1) | chr3:6133528-6136371 FORWARD	NS	20.909557	24.302248	6
9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	259594_at	(at1g28140): unknown protein | chr1:9832816-9834427 REVERSE	NS	NS	-9.356406	6
9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	260418_s_at	"MULTIPLE HITS: (at1g69750,at1g66590). at1g69750: Symbols: COX19-2, ATCOX19-2 | cox19 family protein | chr1:26236316-26237501 FORWARD at1g66590: Symbols: ATCOX19-1, COX19-1 | cox19 family protein | chr1:24841123-24842411 FORWARD"	NS	NS	37.981762	6
9.7	mitochondrial electron transport / ATP synthesis.cytochrome c oxidase	252864_at	(at4g39740): electron transport SCO1/SenC family protein | chr4:18435293-18437136 REVERSE	NS	17.308666	NS	6
9.3	mitochondrial electron transport / ATP synthesis.electron transfer flavoprotein	249158_at	(at5g43430): Symbols: ETFBETA | ETFBETA; electron carrier | chr5:17453598-17455296 FORWARD	NS	NS	-19.236692	6
9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	245181_at	(at5g12420): unknown protein | chr5:4024314-4026741 REVERSE	NS	NS	59.86737	6
9.9	mitochondrial electron transport / ATP synthesis.F1-ATPase	257339_s_at	"MULTIPLE HITS: (atmg00040,at2g07671,atmg01080). atmg00040: Symbols: ORF315 | hypothetical protein | chrM:16844-17791 REVERSE at2g07671: H+-transporting two-sector ATPase, C subunit family protein | chr2:3251665-3252113 REVERSE atmg01080: Symbols: ATP9 | subunit 9 of mitochondrial F0-ATPase | chrM:278649-279152 FORWARD"	NS	NS	52.676353	6
9.1.1	mitochondrial electron transport / ATP synthesis.NADH-DH.complex I	263375_s_at	"MULTIPLE HITS: (at4g28510,at2g20530). at4g28510: Symbols: ATPHB1 | ATPHB1 (PROHIBITIN 1) | chr4:14084749-14086844 REVERSE at2g20530: Symbols: ATPHB6 | ATPHB6 (PROHIBITIN 6) | chr2:8841972-8844000 FORWARD"	NS	-19.39367	15.890945	6
9.1.2	mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear	255442_at	"(at4g02580): NADH-ubiquinone oxidoreductase 24 kDa subunit, putative | chr4:1134467-1137156 FORWARD"	NS	-18.955952	NS	6
9.2.2	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.external	253810_at	(at4g28220): Symbols: NDB1 | NDB1 (NAD(P)H dehydrogenase B1); NADH dehydrogenase/ disulfide oxidoreductase | chr4:13992997-13995831 FORWARD	NS	NS	-17.42649	6
9.2.2	mitochondrial electron transport / ATP synthesis.NADH-DH.type II.external	255259_at	(at4g05020): Symbols: NDB2 | NDB2 (NAD(P)H dehydrogenase B2); FAD binding / disulfide oxidoreductase/ oxidoreductase | chr4:2572621-2576595 FORWARD	NS	87.31139	94.93748	6
8.3	TCA / org. transformation.carbonic anhydrases	246396_at	"(at1g58180): Symbols: ATBCA6, BCA6 | carbonic anhydrase family protein / carbonate dehydratase family protein | chr1:21537935-21539914 REVERSE"	NS	NS	22.900011	6
8.3	TCA / org. transformation.carbonic anhydrases	253300_at	"(at4g33580): Symbols: ATBCA5, BCA5 | carbonic anhydrase family protein / carbonate dehydratase family protein | chr4:16138360-16141624 FORWARD"	NS	NS	-19.209349	6
8.2.11	TCA / org. transformation.other organic acid transformaitons.atp-citrate lyase	248608_at	(at5g49460): Symbols: ACLB-2 | ACLB-2 (ATP CITRATE LYASE SUBUNIT B 2); ATP citrate synthase | chr5:20054523-20058464 FORWARD	NS	NS	-22.332823	6
8.2.4	TCA / org. transformation.other organic acid transformaitons.IDH	250929_at	"(at5g03290): isocitrate dehydrogenase, putative / NAD+ isocitrate dehydrogenase, putative | chr5:793974-796182 FORWARD"	NS	NS	15.148227	6
8.2.10	TCA / org. transformation.other organic acid transformaitons.malic	261355_at	"(at1g79750): Symbols: ATNADP-ME4 | ATNADP-ME4 (NADP-malic enzyme 4); malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)/ malic enzyme/ oxidoreductase, acting on NADH or NADPH, NAD or NADP as acceptor | chr1:30007326-30011393 REVERSE"	NS	-16.46821	-15.80357	6
8.2.10	TCA / org. transformation.other organic acid transformaitons.malic	250339_at	"(at5g11670): Symbols: ATNADP-ME2 | ATNADP-ME2 (NADP-malic enzyme 2); malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)/ malic enzyme/ oxidoreductase, acting on NADH or NADPH, NAD or NADP as acceptor | chr5:3754249-3758242 FORWARD"	NS	30.285175	46.17829	6
8.1.3	TCA / org. transformation.TCA.aconitase	263348_at	"(at2g05710): aconitate hydratase, cytoplasmic, putative / citrate hydro-lyase/aconitase, putative | chr2:2141399-2146678 FORWARD"	NS	NS	15.304202	6
8.1.3	TCA / org. transformation.TCA.aconitase	253954_at	(at4g26970): aconitate hydratase/ copper ion binding | chr4:13542918-13548629 FORWARD	NS	22.972778	26.294525	6
8.1.3	TCA / org. transformation.TCA.aconitase	253135_at	"(at4g35830): aconitate hydratase, cytoplasmic / citrate hydro-lyase / aconitase (ACO) | chr4:16972598-16978057 REVERSE"	NS	NS	11.769234	6
8.1.2	TCA / org. transformation.TCA.CS	267368_at	"(at2g44350): Symbols: ATCS, CSY4 | ATCS; ATP binding / ATP citrate synthase/ citrate (SI)-synthase | chr2:18316278-18320789 FORWARD"	NS	NS	9.411245	6
8.1.8	TCA / org. transformation.TCA.fumarase	248461_s_at	"MULTIPLE HITS: (at2g47510,at5g50950). at2g47510: Symbols: FUM1 | FUM1 (FUMARASE 1); catalytic/ fumarate hydratase | chr2:19498368-19502246 FORWARD at5g50950: fumarate hydratase, putative / fumarase, putative | chr5:20729612-20733516 FORWARD"	NS	NS	-14.65597	6
8.1.4	TCA / org. transformation.TCA.IDH	253196_at	"(at4g35260): Symbols: IDH1 | IDH1 (ISOCITRATE DEHYDROGENASE 1); isocitrate dehydrogenase (NAD+)/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor | chr4:16774195-16776325 REVERSE"	NS	NS	20.409071	6
8.1.4	TCA / org. transformation.TCA.IDH	263583_at	"(at2g17130): Symbols: IDH2 | IDH2 (ISOCITRATE DEHYDROGENASE SUBUNIT 2); isocitrate dehydrogenase (NAD+)/ oxidoreductase, acting on the CH-OH group of donors, NAD or NADP as acceptor | chr2:7460814-7462554 REVERSE"	NS	19.202698	38.285694	6
8.1.1.1	TCA / org. transformation.TCA.pyruvate DH.E1	256160_at	(at1g30120): Symbols: PDH-E1 BETA | PDH-E1 BETA (PYRUVATE DEHYDROGENASE E1 BETA); pyruvate dehydrogenase (acetyl-transferring) | chr1:10584160-10586635 REVERSE	NS	NS	-17.60773	6
8.1.1.1	TCA / org. transformation.TCA.pyruvate DH.E1	261583_at	(at1g01090): Symbols: PDH-E1 ALPHA | PDH-E1 ALPHA (PYRUVATE DEHYDROGENASE E1 ALPHA); pyruvate dehydrogenase (acetyl-transferring) | chr1:47485-49286 REVERSE	NS	-14.677654	-16.229916	6
8.1.1.1	TCA / org. transformation.TCA.pyruvate DH.E1	248474_at	(at5g50850): Symbols: MAB1 | MAB1 (MACCI-BOU); catalytic/ pyruvate dehydrogenase (acetyl-transferring) | chr5:20689390-20693285 FORWARD	NS	-10.294902	NS	6
8.1.1.1	TCA / org. transformation.TCA.pyruvate DH.E1	248474_at	(at5g50850): Symbols: MAB1 | MAB1 (MACCI-BOU); catalytic/ pyruvate dehydrogenase (acetyl-transferring) | chr5:20689390-20693285 FORWARD	12.2525215	NS	NS	6
8.1.1.2	TCA / org. transformation.TCA.pyruvate DH.E2	261165_at	(at1g34430): Symbols: EMB3003 | EMB3003 (embryo defective 3003); acyltransferase/ dihydrolipoyllysine-residue acetyltransferase/ protein binding | chr1:12587752-12590192 REVERSE	NS	-25.413527	-28.742744	6
8.1.1.3	TCA / org. transformation.TCA.pyruvate DH.E3	257895_at	"(at3g16950): Symbols: LPD1, ptlpd1 | LPD1 (LIPOAMIDE DEHYDROGENASE 1); dihydrolipoyl dehydrogenase | chr3:5786385-5790525 REVERSE"	NS	-26.76429	-24.202614	6
8.1.7	TCA / org. transformation.TCA.succinate dehydrogenase	247060_at	(at5g66760): Symbols: SDH1-1 | SDH1-1; ATP binding / succinate dehydrogenase | chr5:26653658-26657536 FORWARD	NS	NS	26.03829	6
8.1.6	TCA / org. transformation.TCA.succinyl-CoA ligase	246035_at	"(at5g08300): succinyl-CoA ligase (GDP-forming) alpha-chain, mitochondrial, putative / succinyl-CoA synthetase, alpha chain, putative / SCS-alpha, putative | chr5:2667412-2669923 FORWARD"	NS	NS	20.164782	6
