"Probe_Set_ID"	"AT_number"	"Description"	"CO2_pvalue"	"Dev_pvalue"	"CO2byDev_pvalue"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"	"Kmeans_cluster"	"mapman_bin"
"244971_at"	"clpP"	"protein.degradation"	0.1784	8e-04	0.5247	-5.798778952207	-2.35235657439309	-18.4952376075379	4	"29.5"
"244972_at"	"psbB"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.6806	9.999e-05	0.4327	-16.6893854201056	25.8358573910095	-20.9404916918996	4	"1.1.1.2"
"244973_at"	"psbT"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.658	9.999e-05	0.4565	-2.91841273900839	16.5959033881138	-28.4527546113343	4	"1.1.1.2"
"244974_at"	"psbN"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.7266	9.999e-05	0.5428	-5.49534140948349	9.40814302854577	-10.4541708444986	4	"1.1.1.2"
"244975_at"	"psbH"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.664	9.999e-05	0.5102	-10.7038427324283	13.1744576688604	-12.7281000879618	4	"1.1.1.2"
"244976_at"	"petB"	"PS.lightreaction.cytochrome b6/f"	0.3783	9.999e-05	0.5254	-5.12682980518766	3.12775977754855	-10.3632078355808	4	"1.1.3"
"244977_at"	"petD"	"PS.lightreaction.cytochrome b6/f"	0.9344	0.0029	0.4607	21.7817089452604	-2.55095149984467	-18.5646446635858	4	"1.1.3"
"244978_at"	"rpoA"	"RNA.transcription"	0.3797	0.0025	0.0991	6.47958801910253	3.03475517668955	-24.4459566236355	4	"27.2"
"244979_at"	"rps11"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S11"	0.0752	1e-04	0.1997	-2.68768889410805	-3.18597232959727	-19.7542982478813	5	"29.2.1.1.1.1.11"
"244980_at"	"rpl36"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L36"	0.1752	0.0105	0.3449	-8.87194198998053	2.01689408212089	-26.1399660507633	5	"29.2.1.1.1.2.36"
"244981_at"	"rps8"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S8"	0.3951	0.0137	0.6776	-5.47932156483287	-0.0338141498415463	-20.0255003269961	5	"29.2.1.1.1.1.8"
"244982_at"	"rpl14"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L14"	0.1585	0.0036	0.5426	-6.30746824528481	-4.27205818335211	-20.9404587898674	5	"29.2.1.1.1.2.14"
"244983_at"	"rpl16.chloroplast"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L16"	0.3444	0.0049	0.5696	-8.19088679809378	3.50082873675434	-16.2866071614404	5	"29.2.1.1.1.2.16"
"244984_at"	"rps3.chloroplast"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S3"	0.342	6e-04	0.604	-1.96049112627255	-0.708229418100676	-10.9678911152943	5	"29.2.1.1.1.1.3"
"244985_at"	"rpl22"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L22"	0.1999	0.001	0.4583	-0.79221571241445	-4.44468107557056	-15.0306689579366	5	"29.2.1.1.1.2.22"
"244986_at"	"rps19"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S19"	0.4439	0.0438	0.7085	-2.29169977327719	-0.708226177969679	-13.2582278437517	5	"29.2.1.1.1.1.19"
"244987_s_at"	"rpl2.1_chloro"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L2"	0.0764	9.999e-05	0.4656	-1.92727002141651	-6.36558301139668	-12.2839404117575	5	"29.2.1.1.1.2.2"
"244988_s_at"	"rpl23.1"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L23"	0.4475	4e-04	0.2511	-1.99360900462632	8.37619937025582	-21.3940631855384	4	"29.2.1.1.1.2.23"
"244990_s_at"	"orf77.1"	"not assigned.unknown"	0.4649	0.0209	0.301	30.6755980282457	26.1200411635963	-17.7606240088034	4	"35.2"
"244991_s_at"	"ndhB.1"	"PS.lightreaction.cyclic electron flow-chlororespiration"	0.3881	0.007	0.6573	2.61418800920121	-15.4247919482358	-7.85709271369401	4	"1.1.40"
"244992_s_at"	"rps7.1_chloroplast"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S7"	0.3848	9.999e-05	0.5123	-6.21233469386319	4.01583300193774	-11.2987711100369	4	"29.2.1.1.1.1.7"
"244993_s_at"	"ycf1.1"	"protein.assembly and cofactor ligation"	0.3697	9.999e-05	0.8463	-6.05344602934219	-2.48446568763019	-13.0525192401846	5	"29.8"
"244995_at"	"atpI"	"PS.lightreaction.ATP synthase"	0.2053	9.999e-05	0.2329	0.79892300382379	-3.75230635990511	-42.3284311526793	4	"1.1.4"
"244996_at"	"rps2"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S2"	0.4222	0.0115	0.4075	-1.62812008850101	4.39204711441736	-25.3103741708591	5	"29.2.1.1.1.1.2"
"245000_at"	"ycf6"	"PS.lightreaction.cytochrome b6/f"	0.3739	9.999e-05	0.754	2.58790574589678	24.3683018056202	5.27008941283673	4	"1.1.3"
"245001_at"	"psbM"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.0318	0.1142	0.5697	-8.00425261209437	-27.4059693796314	-23.8297134549289	4	"1.1.1.2"
"245002_at"	"psbD"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.8034	9.999e-05	0.3257	-14.0545226161349	36.4838292465806	-24.2923422866195	4	"1.1.1.2"
"245003_at"	"psbC"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.768	9.999e-05	0.4539	-9.39477773145867	16.6485315726137	-13.2874870383206	4	"1.1.1.2"
"245004_at"	"ycf9"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.9715	9.999e-05	0.5583	-3.44230098343571	10.7493241840131	-5.85450811339148	4	"1.1.1.2"
"245005_at"	"rps14"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S14"	0.521	9.999e-05	0.2939	12.3656181812747	23.0283568279541	-13.3311971680552	4	"29.2.1.1.1.1.14"
"245006_at"	"psaB"	"PS.lightreaction.photosystem I.PSI polypeptide subunits"	0.172	9.999e-05	0.8638	-9.51735275763677	-3.27329131558711	-7.4969278723069	4	"1.1.2.2"
"245007_at"	"psaA"	"PS.lightreaction.photosystem I.PSI polypeptide subunits"	0.2385	9.999e-05	0.6703	-16.9709980791516	-1.24442733543612	-29.7247897114561	4	"1.1.2.2"
"245008_at"	"ycf3"	"protein.assembly and cofactor ligation"	0.1068	0.0035	0.4418	-10.8548179997593	-9.31809118702645	-37.1086947945991	5	"29.8"
"245009_at"	"rps4.chloroplast"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S4"	0.1946	2e-04	0.1776	0.220256009075721	-0.304178554595373	-19.67282299044	4	"29.2.1.1.1.1.4"
"245010_at"	"ndhJ"	"PS.lightreaction.NADH DH"	0.3629	9.999e-05	0.803	-7.00248765025128	-4.40156269079818	-20.4304715904357	4	"1.1.6"
"245011_at"	"psbG"	"PS.lightreaction.NADH DH"	0.2179	9.999e-05	0.9577	-13.0009474979716	-17.8514045285765	-21.4738621064994	4	"1.1.6"
"245012_at"	"ndhC"	"PS.lightreaction.NADH DH"	0.2212	9.999e-05	0.8927	-3.83373640223487	-5.89957614085905	-9.11068004590308	4	"1.1.6"
"245013_at"	"atpE"	"PS.lightreaction.ATP synthase.epsilon chain"	0.041	9.999e-05	0.7513	-5.92618756611087	-3.53483997606395	-8.52433220076243	4	"1.1.4.3"
"245014_at"	"atpB"	"PS.lightreaction.ATP synthase.beta subunit"	0.1511	9.999e-05	0.5651	-0.388445703175959	-5.38873714533051	-7.80943435536672	4	"1.1.4.2"
"245015_at"	"rbcL"	"PS.calvin cyle.rubisco large subunit"	0.5099	9.999e-05	0.7662	-4.74070888762832	1.4659601956464	-13.6389800915864	4	"1.3.1"
"245016_at"	"accD"	"lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation"	0.7661	9.999e-05	0.3694	-10.3859442365273	35.440842080054	-7.84066986677508	4	"11.1.1"
"245017_at"	"psaI"	"PS.lightreaction.photosystem I.PSI polypeptide subunits"	0.7178	9.999e-05	0.8133	-4.90179994863721	4.48632090283963	-7.68461824117174	4	"1.1.2.2"
"245018_at"	"ycf4"	"protein.assembly and cofactor ligation"	0.8651	9.999e-05	0.5102	-8.42363821050096	24.1437855867539	-18.329551304387	4	"29.8"
"245019_at"	"ycf10_cemA"	"not assigned.unknown"	0.5986	9.999e-05	0.7669	-8.81028490194037	5.5288089877496	-11.6582839500025	4	"35.2"
"245020_at"	"petA"	"PS.lightreaction.cytochrome b6/f"	0.5104	9.999e-05	0.3564	-6.84500738909209	7.64510282721806	-9.75439966023019	4	"1.1.3"
"245021_at"	"psbJ"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.1819	9.999e-05	0.1476	2.5882958864319	-2.66033793856367	-21.1809718404148	4	"1.1.1.2"
"245022_at"	"psbL"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.6851	9.999e-05	0.4986	2.10327683170848	4.91150059240661	-15.6895151769929	4	"1.1.1.2"
"245023_at"	"psbI"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.3973	4e-04	0.8498	-2.19241521151355	-10.9000730906666	-3.82554287517923	4	"1.1.1.2"
"245024_at"	"atpA"	"PS.lightreaction.ATP synthase.alpha subunit"	0.4757	9.999e-05	0.5563	-4.25586117330809	4.39208962160912	-16.7105313108415	4	"1.1.4.1"
"245025_at"	"atpF"	"PS.lightreaction.ATP synthase.subunit B (ATPF)"	0.7009	9.999e-05	0.6206	-13.2948753090624	15.6526984089234	-14.8866695930483	4	"1.1.4.8"
"245026_at"	"atpH"	"PS.lightreaction.ATP synthase.subunit C"	0.6388	9.999e-05	0.6333	-17.5588785329007	14.8205646640526	-14.2795954252393	4	"1.1.4.5"
"245027_at"	"At2g26550"	"tetrapyrrole synthesis.heme oxygenase"	0.1059	9.999e-05	0.1518	6.64181720118624	-17.4797946474959	-15.2173151633769	5	"19.21"
"245028_at"	"At2g26570"	"not assigned.unknown"	0.4515	9.999e-05	0.228	-1.6280565753245	6.84658937113193	-16.6681382070752	4	"35.2"
"245029_at"	"At2g26580"	"RNA.regulation of transcription.C2C2(Zn) YABBY family"	0.3271	9.999e-05	0.958	-6.49724060046239	-4.16400419978131	-8.70996251753965	4	"27.3.10"
"245035_at"	"At2g26400"	"not assigned.no ontology"	0.0081	9.999e-05	0.603	41.1584139857947	131.201219486232	111.720261375275	7	"35.1"
"245039_at"	"At2g26600"	"misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase"	0.0392	9.999e-05	0.4258	2.77930257417733	24.4239759637136	15.8517379456721	4	"26.4.1"
"245041_at"	"At2g26530"	"not assigned.unknown"	0.1474	9.999e-05	0.6397	28.9619772923815	12.4870264182609	5.25215754097546	4	"35.2"
"245042_at"	"At2g26540"	"tetrapyrrole synthesis.uroporphyrinogen III synthase"	0.0128	9.999e-05	0.0903	1.12324373689363	-16.4116436284407	-24.0229272889114	5	"19.6"
"245043_at"	"At2g26430"	"cell.cycle"	0.2622	9.999e-05	0.3059	-9.02643725944522	4.91145381099677	-8.77169488313232	4	"31.3"
"245044_at"	"At2g26500"	"PS.lightreaction.cytochrome b6/f"	0.1219	9.999e-05	0.2612	-5.47937706245081	1.55758814878582	-13.6974590173911	4	"1.1.3"
"245045_at"	"At2g26590"	"not assigned.no ontology"	0.199	9.999e-05	0.7532	4.83461807816934	6.2935336825034	16.7571030838545	7	"35.1"
"245046_at"	"At2g26510"	"transport.misc"	0.6827	9.999e-05	0.404	-1.52815968139346	-0.976677393681457	5.66283754062249	7	"34.99"
"245047_at"	"psbA"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.3792	9.999e-05	0.2477	-10.9603388255613	44.5344059257257	5.05657732863169	4	"1.1.1.2"
"245049_at"	"rps16"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.30S subunit.S16"	0.336	0.009	0.8656	-7.22257057418827	-4.87495163787226	-15.9744268701944	5	"29.2.1.1.1.1.16"
"245050_at"	"psbK"	"PS.lightreaction.photosystem II.PSII polypeptide subunits"	0.4441	9.999e-05	0.7681	-6.81346897685684	-9.56329049730287	1.42301989123358	4	"1.1.1.2"
"245051_at"	"At2g23320"	"RNA.regulation of transcription.WRKY domain transcription factor family"	0.0408	9.999e-05	0.0892	-5.30300526452466	56.8364829370179	18.4485288504763	4	"27.3.32"
"245052_at"	"At2g26440"	"cell wall.pectin*esterases.PME"	6e-04	4e-04	0.0659	13.5901203796608	73.7918930614992	125.360976503071	6	"10.8.1"
"245054_at"	"At2g26460"	"not assigned.no ontology"	0.8476	3e-04	0.2074	4.33908138727952	-14.5428804943871	16.6188306021526	7	"35.1"
"245055_at"	"At2g26470"	"not assigned.unknown"	0.84	0.0148	0.4804	-6.06925993430735	10.6993585400406	-0.632982340764223	7	"35.2"
"245059_at"	"At2g39720"	"protein.degradation.ubiquitin.E3.RING"	0.8501	9.999e-05	0.5476	-6.33907402591039	7.86438251215132	-3.97181614231306	4	"29.5.11.4.2"
"245061_at"	"At2g39730"	"PS.calvin cyle.rubisco interacting"	0.2273	9.999e-05	0.6796	-5.54335753184075	0.191970094620596	-5.66310462443481	4	"1.3.13"
"245062_at"	"At2g39760"	"protein.degradation.ubiquitin.E3.BTB/POZ Cullin3.BTB/POZ"	0.3102	0.0107	0.2649	-2.02680118127088	1.92484071461328	9.63364973046412	3	"29.5.11.4.5.2"
"245063_at"	"At2g39795"	"not assigned.no ontology"	0.2961	9.999e-05	0.001	2.9011544445686	-22.076497676598	49.7339095821395	7	"35.1"
"245064_at"	"At2g39725"	"not assigned.no ontology"	0.7116	9.999e-05	0.6694	-9.59405532450323	-4.93952396339942	6.43509214224272	7	"35.1"
"245065_at"	"At2g39750"	"stress.abiotic.drought/salt"	0.4261	2e-04	0.6908	-9.96030457219156	1.26010838060509	-3.98817728211552	4	"20.2.3"
"245066_at"	"At2g39840"	"protein.postranslational modification"	0.5947	0.0038	0.6163	-8.22198063807015	0.849257393805051	0.449445772014721	4	"29.4"
"245067_at"	"At2g39780"	"RNA.processing.ribonucleases"	0.0734	2e-04	0.7728	4.87015338896959	11.8038714731044	5.77018183969524	4	"27.1.19"
"245074_at"	"At2g23200"	"signalling.receptor kinases.Catharanthus roseus-like RLK1"	0.1339	9.999e-05	0.7273	5.26175288729031	19.8771051883432	25.6342718780773	4	"30.2.16"
"245078_at"	"At2g23340"	"RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family"	0.4444	9.999e-05	0.1231	-6.27535212548582	-18.6626280324104	13.4844530579649	3	"27.3.3"
"245083_at"	"At2g23310"	"protein.targeting.secretory pathway.ER"	0.2521	7e-04	0.5351	1.60342155427992	-12.4541833772539	-6.93171147573391	4	"29.3.4.1"
"245084_at"	"At2g23290"	"RNA.regulation of transcription.MYB domain transcription factor family"	0.0029	0.4608	0.6139	16.2935829134993	28.3309861310964	35.7817556759068	6	"27.3.25"
"245085_at"	"At2g23350"	"RNA.processing"	0.7839	9.999e-05	0.1909	4.90566429806464	-13.1626958477867	5.69858149203601	7	"27.1"
"245089_at"	"At2g45290"	"PS.calvin cyle.transketolase"	0.8718	9.999e-05	0.9968	2.05166211745991	0.872257335183186	0.772378438814395	7	"1.3.8"
"245093_at"	"At2g40820"	"RNA.processing.ribonucleases"	0.8082	0.0022	0.1756	15.5880008778719	-14.8504683962412	-3.00775497618177	7	"27.1.19"
"245094_at"	"At2g40840"	"major CHO metabolism.degradation.starch.D enzyme"	0.0143	9.999e-05	0.2147	-3.34429209945261	-26.4497130901676	-13.580490316866	4	"2.2.2.4"
"245096_at"	"At2g40880"	"protein.degradation.cysteine protease"	0.4636	9.999e-05	0.2707	-8.0976249859067	15.4440627325769	6.95813456153022	4	"29.5.3"
"245097_at"	"At2g40935"	"not assigned.no ontology"	0.9286	0.018	0.4234	-6.56070080048332	0.622267920754257	7.68452102358691	3	"35.1"
"245098_at"	"At2g40940"	"hormone metabolism.ethylene.signal transduction"	0.2221	4e-04	0.6023	-0.253359817879619	15.235823661715	8.04968089845526	4	"17.5.2"
"245099_at"	"At2g40830"	"protein.degradation.ubiquitin.E3.RING"	0.1277	9.999e-05	0.6069	2.36277447124664	17.2819084548942	7.79347052056895	4	"29.5.11.4.2"
"245100_at"	"At2g40930"	"protein.degradation.ubiquitin.ubiquitin protease"	0.1244	9.999e-05	0.1521	-0.135321468156316	2.40882883520215	24.5755060351784	7	"29.5.11.5"
"245101_at"	"At2g40890"	"misc.cytochrome P450"	0.344	9.999e-05	0.5542	-0.422117915149636	-8.43398817784755	-0.615723309897755	5	"26.10"
"245104_at"	"At2g41600"	"not assigned.unknown"	0.1581	9.999e-05	0.311	3.02310780987681	-11.1410146262693	-9.46426942762148	7	"35.2"
"245106_at"	"At2g41650"	"not assigned.unknown"	0.8737	9.999e-05	0.2643	-4.1910072798683	-10.6989377424501	13.5611137607371	7	"35.2"
"245109_at"	"At2g41520"	"stress.abiotic.heat"	0.0129	7e-04	0.2283	-4.90175321031329	-11.3212380313041	-23.143941735808	5	"20.2.1"
"245112_at"	"At2g41540"	"lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)"	0.0144	9.999e-05	0.7906	-11.1711327483417	-15.0809213828545	-19.3733610633873	7	"11.5.2"
"245114_at"	"At2g41630"	"RNA.transcription"	0.9155	0.002	0.1537	-7.44210575420059	3.03484030943281	3.96007317231137	7	"27.2"
"245115_at"	"At2g41530"	"C1-metabolism"	0.9133	9.999e-05	0.6984	-1.79441590316917	2.84894790676545	-1.78610812184158	2	"25"
"245116_at"	"At2g41620"	"protein.targeting.nucleus"	0.7044	9.999e-05	0.2707	-1.81112424790525	13.3021297999466	-5.39132528871757	7	"29.3.1"
"245117_at"	"At2g41560"	"signalling.calcium"	0.775	9.999e-05	0.0308	18.7396636604241	-5.13215473933792	-14.973052587328	4	"30.3"
"245118_at"	"At2g41680"	"redox.thioredoxin"	0.3418	9.999e-05	0.1554	9.47610472698828	-13.1627788460945	-9.04915214311634	4	"21.1"
"245120_at"	"At2g39810"	"not assigned.unknown"	0.262	9.999e-05	0.6067	0.798558916939587	-8.66121272406163	-5.61552466624849	7	"35.2"
"245121_at"	"At2g47610"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7A"	0.0707	9.999e-05	0.001	3.2151848716494	-25.3799365054887	7.17557550371504	7	"29.2.1.2.2.57"
"245122_at"	"At2g47420"	"RNA.processing"	0.857	0.0138	0.997	-1.2110552025203	-0.506131535346681	-1.70298505550264	7	"27.1"
"245123_at"	"At2g47450"	"DNA.synthesis/chromatin structure"	0.275	9.999e-05	0.103	7.82129498909079	-7.87452974421521	-11.9866269055165	4	"28.1"
"245124_at"	"At2g47580"	"RNA.processing.splicing"	0.1987	9.999e-05	0.1648	5.2612938620027	-7.43690655744375	-13.5512514458118	7	"27.1.1"
"245127_at"	"At2g47600"	"transport.metal"	0.2257	9.999e-05	0.468	-11.1409841415307	1.16882463999643	-4.82934024907099	4	"34.12"
"245129_at"	"At2g45350"	"RNA.processing"	0.7565	0.0011	0.2447	12.2722372577253	28.9685580465257	-22.4249143317879	5	"27.1"
"245130_at"	"At2g45340"	"signalling.receptor kinases.leucine rich repeat IV"	0.0197	9.999e-05	0.0089	11.7219155755807	-16.3929441714141	-41.4829249679758	7	"30.2.4"
"245133_at"	"At2g45310"	"cell wall.precursor synthesis.GAE"	0.156	9.999e-05	0.1581	4.71076131088652	-7.5830437478793	-17.2724193186187	7	"10.1.6"
"245134_s_at"	"At2g45250"	"not assigned.unknown"	0.2246	9.999e-05	0.0766	4.12744036550253	-2.63832121308634	-11.4187892811642	4	"35.2"
"245137_at"	"At2g45460"	"RNA.regulation of transcription.FHA transcription factor"	0.3009	9.999e-05	0.7799	0.884337910169885	14.7169098946507	15.4409892806266	7	"27.3.48"
"245138_at"	"At2g45190"	"development.unspecified"	0.0781	9.999e-05	0.5112	-3.70341063337103	-18.1655521511855	-25.5247967458088	7	"33.99"
"245142_at"	"At2g45270"	"protein.degradation"	0.2765	9.999e-05	0.1564	7.96747401881561	-13.3779555081412	-8.52441170700979	5	"29.5"
"245143_at"	"At2g45450"	"not assigned.unknown"	0.6835	0.0065	0.2633	7.2571739697244	9.0878616796048	-24.8793502916576	4	"35.2"
"245144_at"	"At2g45240"	"protein.degradation.metalloprotease"	0.5764	9.999e-05	0.4808	4.2331186807896	-4.74601488330344	8.08612979543245	7	"29.5.7"
"245145_at"	"At2g45440"	"amino acid metabolism.synthesis.aspartate family.lysine.dihydrodipicolinate synthase"	0.1945	9.999e-05	0.2041	2.34545376963628	-18.2212427180284	-2.25037501179043	7	"13.1.3.5.1"
"245147_at"	"At2g45280"	"DNA.repair"	0.9286	9.999e-05	0.7877	3.846211327055	0.736093987961425	-3.25411544270884	7	"28.2"
"245150_at"	"At2g47590"	"signalling.light"	0.0912	9.999e-05	0.0954	9.32792228190317	-24.2261514588687	-15.3177096869909	5	"30.11"
"245155_at"	"At5g12470"	"not assigned.unknown"	0.3504	0.0012	0.1691	8.40686540382468	-6.99725772882779	10.228861096264	5	"35.2"
"245156_at"	"At5g12480"	"signalling.calcium"	0.0173	0.0027	0.066	-4.17467824401332	24.7621760439839	26.2516416396245	3	"30.3"
"245164_at"	"At2g33210"	"protein.folding"	0.464	9.999e-05	0.1528	5.40388200777557	-16.656483027104	2.11198281666751	7	"29.6"
"245165_at"	"At2g33180"	"not assigned.unknown"	0.5017	9.999e-05	0.5044	5.65390269239061	-13.0058108188034	-4.92592942707225	5	"35.2"
"245166_at"	"At2g33170"	"signalling.receptor kinases.leucine rich repeat XI"	0.2656	9.999e-05	0.5204	-5.95845190836941	1.9484763047696	-9.50998698118388	4	"30.2.11"
"245167_s_at"	"At2g33120"	"cell.vesicle transport"	0.2792	9.999e-05	0.0628	-3.76857622448387	-0.618614007847617	18.2684436948065	4	"31.4"
"245168_at"	"At2g33150"	"amino acid metabolism.degradation.branched-chain group.shared"	0.116	9.999e-05	0.1657	-4.5147338982912	11.9553169286336	20.3683265683695	6	"13.2.4.1"
"245169_at"	"At2g33220"	"not assigned.unknown"	0.7852	0.0321	0.2316	5.61807963075363	1.51176913941626	-9.69330792606149	5	"35.2"
"245174_at"	"At2g47500"	"cell.organisation"	0.8916	9.999e-05	0.639	14.2839045165805	-14.3882726599639	-2.81947343072724	5	"31.1"
"245175_at"	"At2g47470"	"redox.thioredoxin"	0.2242	1e-04	0.4889	1.31156547433441	3.50081017640001	16.9548818972731	7	"21.1"
"245176_at"	"At2g47440"	"stress.abiotic.heat"	0.8933	9.999e-05	0.4201	9.01386346831861	-0.708236752224593	-5.82258310550646	4	"20.2.1"
"245178_at"	"At5g12390"	"not assigned.unknown"	0.2296	9.999e-05	0.2131	-6.32343311898726	16.5693970407232	10.9212593927183	4	"35.2"
"245179_at"	"At5g12400"	"RNA.regulation of transcription.PHD finger transcription factor"	0.6315	0.005	0.1149	0.832466181061384	14.4067603802714	-21.897975545481	5	"27.3.63"
