"Probe_Set_ID"	"Transcript_ID_Array_Design_"	"Variance_Residual"	"SumVariance"	"SampleVariance"	"RSquare"	"F_T3_co2"	"F_T3_dev"	"F_T3_co2_dev"	"PrF_T3_co2"	"PrF_T3_dev"	"PrF_T3_co2_dev"	"Lsmean_co2_A"	"Lsmean_co2_E"	"Lsmean_dev_expanding"	"Lsmean_dev_fullexpand"	"Lsmean_dev_primordia"	"LinearLsmean_A_expanding"	"linearLsmean_A_fullexpand"	"linearLsmean_A_primordia"	"linearLsmean_E_expanding"	"linearLsmean_E_fullexpand"	"linearLsmean_E_primordia"	"percentage_A_PvX"	"percentage_A_PvE"	"percentage_A_EvX"	"percentage_E_PvX"	"percentage_E_PvE"	"percentage_E_EvX"	"neglog10pvalue_A_expanding_E_expanding"	"neglog10pvalue_A_fullexpand_E_fullexpand"	"neglog10pvalue_A_primordia_E_primordia"	"Cluster"	"Lsmean_A_expanding"	"Lsmean_A_fullexpand"	"Lsmean_A_primordia"	"Lsmean_E_expanding"	"Lsmean_E_fullexpand"	"Lsmean_E_primordia"	"BINCODE"	"NAME"	"BINCODE2"	"NAME2"	"BINCODE3"	"NAME3"	"percentchangeco2_primordia"	"percentchangeco2_expanding"	"percentchangeco2_fullexpand"
"245109_at"	"At2g41520"	0.030037	0.030037	0.073584	0.688992	7.81814	11.9962	1.62207	0.0129	7e-04	0.2283	-1.16291	-1.37145	-1.22957	-1.49615	-1.07581	0.452848	0.404365	0.486479	0.40158	0.310779	0.462633	-6.9131	-16.8793	-10.7063	-13.1968	-32.8239	-22.611	0.622831	2.161351	0.250005	5	-1.1429	-1.30627	-1.03955	-1.31624	-1.68604	-1.11206	"20.2.1"	"stress.abiotic.heat"	NA	NA	NA	NA	-4.90175321031329	-11.3212380313041	-23.143941735808
"245112_at"	"At2g41540"	0.041029	0.041029	1.652668	0.981085	7.52652	410.866	0.2384	0.0144	9.999e-05	0.7906	-0.31002	-0.54915	-0.49683	-1.84662	1.054688	0.769018	0.309652	2.20402	0.653043	0.249662	1.957806	-65.1084	-85.9506	-59.7341	-66.6441	-87.2479	-61.7694	0.761731	1.342074	0.601731	7	-0.37891	-1.69128	1.140137	-0.61475	-2.00195	0.969238	"11.5.2"	"lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)"	NA	NA	NA	NA	-11.1711327483417	-15.0809213828545	-19.3733610633873
"245117_at"	"At2g41560"	0.027472	0.027472	0.743657	0.971854	0.08454	271.847	4.36158	0.775	9.999e-05	0.0308	2.376723	2.355984	2.762451	3.083313	1.253296	6.966606	9.191606	2.18767	6.609069	7.815342	2.597632	218.4487	320.1551	31.93808	154.4267	200.8641	18.25179	0.234976	1.19951	1.296413	4	2.800456	3.200317	1.129395	2.724447	2.966309	1.377197	"30.3"	"signalling.calcium"	NA	NA	NA	NA	18.7396636604241	-5.13215473933792	-14.973052587328
"245121_at"	"At2g47610"	0.012252	0.012252	0.624924	0.985062	3.75028	515.651	11.0366	0.0707	9.999e-05	0.001	3.694268	3.602024	3.542399	2.816223	4.585815	13.48778	6.803301	23.63721	10.06459	7.291477	24.39719	-42.9384	-71.2178	-49.5595	-58.7469	-70.1135	-27.5532	3.594505	0.65815	0.245786	7	3.753581	2.766235	4.562988	3.331217	2.866211	4.608643	"29.2.1.2.2.57"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L7A"	NA	NA	NA	NA	3.2151848716494	-25.3799365054887	7.17557550371504
"245130_at"	"At2g45340"	0.067892	0.067892	0.461303	0.887868	6.71165	53.4277	6.42936	0.0197	9.999e-05	0.0089	0.311537	0.02105	0.069743	-0.45453	0.883667	1.147817	0.953966	1.745585	0.959656	0.558233	1.950201	-34.2446	-45.3498	-16.8887	-50.7919	-71.3756	-41.8299	0.615615	3.164739	0.399833	7	0.198893	-0.06799	0.803711	-0.05941	-0.84106	0.963623	"30.2.4"	"signalling.receptor kinases.leucine rich repeat IV"	NA	NA	NA	NA	11.7219155755807	-16.3929441714141	-41.4829249679758
"245156_at"	"At5g12480"	0.030017	0.030017	0.066268	0.654888	7.05166	8.74153	3.23678	0.0173	0.0027	0.066	-0.92509	-0.72711	-1.01717	-0.6286	-0.83252	0.442344	0.575644	0.573649	0.551878	0.72676	0.549701	-22.8895	0.34787	30.13509	0.395875	32.20988	31.68856	1.41566	1.842332	0.205951	3	-1.17676	-0.79675	-0.80176	-0.85758	-0.46045	-0.86328	"30.3"	"signalling.calcium"	NA	NA	NA	NA	-4.17467824401332	24.7621760439839	26.2516416396245
"245181_at"	"At5g12420"	0.077807	0.077807	0.741323	0.920033	0.75601	84.906	6.6349	0.3974	9.999e-05	0.008	-1.71163	-1.60726	-2.25659	-2.13995	-0.58179	0.213378	0.179445	0.743302	0.205232	0.286874	0.600568	-71.2933	-75.8585	-15.9028	-65.827	-52.2329	39.7802	0.092378	2.465615	0.858831	7	-2.22852	-2.47839	-0.42798	-2.28467	-1.80151	-0.7356	"9.9"	"mitochondrial electron transport / ATP synthesis.F1-ATPase"	NA	NA	NA	NA	-19.2026928489362	-3.81763818200565	59.8673688316755
"245188_at"	"At1g67660"	0.052274	0.052274	0.182779	0.782098	6.61352	21.8752	4.10427	0.0205	9.999e-05	0.0364	0.890747	0.637722	0.965251	0.320007	1.007446	2.344844	1.415051	1.92105	1.625641	1.101264	2.103801	22.06055	-26.3397	-39.6527	-22.7284	-47.6536	-32.2567	1.919151	1.399536	0.367238	5	1.229492	0.500854	0.941895	0.701009	0.13916	1.072998	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	9.51307878503943	-30.6716779453132	-22.1749604784563
"245196_at"	"At1g67750"	0.147264	0.147264	1.002678	0.888099	11.1793	55.5095	1.77909	0.0041	9.999e-05	0.2006	0.439738	-0.11241	0.390218	-0.94476	1.045532	1.447138	0.729905	2.362368	1.186928	0.36977	1.803538	-38.742	-69.1028	-49.5622	-34.1889	-79.4975	-68.8465	0.426017	2.634175	0.768196	5	0.533203	-0.45422	1.240234	0.247233	-1.4353	0.85083	"10.6.3"	"cell wall.degradation.pectate lyases and polygalacturonases"	NA	NA	NA	NA	-23.6555015983962	-17.981008031024	-49.3399826004754
"245199_at"	"At1g67730"	0.010703	0.010703	0.261607	0.96883	15.4869	240.525	0.70384	0.0012	9.999e-05	0.5094	2.61967	2.444472	2.496175	1.983459	3.116577	6.114799	4.100407	9.259524	5.205533	3.813596	8.124151	-33.9621	-55.7169	-32.9429	-35.9252	-53.0585	-26.7396	1.846339	0.764647	1.695744	7	2.612305	2.035767	3.210938	2.380046	1.931152	3.022217	"16.7"	"secondary metabolism.wax"	NA	NA	NA	NA	-12.261677814108	-14.8699245878728	-6.99469589238336
"245200_at"	"At1g67850"	0.044585	0.044585	0.1217	0.720874	11.2749	10.692	4.97217	0.004	0.0011	0.0209	-0.57255	-0.26744	-0.28068	-0.2713	-0.70801	0.684964	0.70287	0.631524	0.989341	0.976749	0.593397	8.462024	11.29741	2.614172	66.72495	64.60293	-1.27277	2.141224	2.234902	0.255098	6	-0.5459	-0.50867	-0.66309	-0.01546	-0.03394	-0.75293	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	-6.03730024512133	44.4369339118552	38.9658116010073
"245201_at"	"At1g67840"	0.015136	0.015136	0.626576	0.981595	17.2441	412.48	4.29558	7e-04	9.999e-05	0.0321	1.167169	0.94732	1.395915	1.73053	0.045288	2.696924	3.854145	1.089585	2.567766	2.857291	0.97725	147.5184	253.7259	42.90892	162.7542	192.3807	11.27535	0.308874	3.850881	1.045745	4	1.431315	1.946411	0.123779	1.360514	1.514648	-0.0332	"30.2.99"	"signalling.receptor kinases.misc"	NA	NA	NA	NA	-10.3098886273214	-4.78908563978814	-25.8644654002379
"245210_at"	"At5g12350"	0.021251	0.021251	0.028632	0.43449	0.40818	2.29998	3.64909	0.5319	0.1324	0.0495	-1.39886	-1.35878	-1.36076	-1.31097	-1.46472	0.382521	0.426359	0.334408	0.396359	0.381012	0.392531	14.38755	27.49671	11.4603	0.97513	-2.93453	-3.87191	0.172368	0.869371	1.404333	2	-1.38639	-1.22986	-1.58032	-1.33512	-1.39209	-1.34912	"31.2"	"cell.division"	NA	NA	NA	NA	17.3808640941604	3.6175791655883	-10.6358725862477
"245211_at"	"At5g12370"	0.003294	0.003294	0.045385	0.944704	6.55775	127.187	6.27438	0.0209	9.999e-05	0.0097	0.699124	0.635878	0.842041	0.763733	0.396729	1.840641	1.793342	1.296401	1.745783	1.607495	1.33695	41.98081	38.33239	-2.56966	30.57955	20.23601	-7.92126	0.910642	2.885115	0.537947	4	0.880208	0.842651	0.374512	0.803874	0.684814	0.418945	"31.4"	"cell.vesicle transport"	NA	NA	NA	NA	3.12781307635525	-5.15353075368852	-10.3631655311703
"245235_at"	"At4g25550"	0.00807	0.00807	0.100947	0.93909	0.21416	117.778	5.22143	0.6498	9.999e-05	0.018	1.280965	1.298855	1.109782	1.065491	1.694458	2.260682	2.085193	3.043976	2.060231	2.100599	3.441313	-25.7326	-31.4977	-7.76265	-40.1324	-38.9594	1.959415	1.062811	0.060822	1.87927	7	1.176758	1.060181	1.605957	1.042806	1.070801	1.782959	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	13.0532238099118	-8.86683752955967	0.738828492134782
"245238_at"	"At4g25570"	0.007007	0.007007	0.133048	0.959872	0.38643	185.094	6.25856	0.5429	9.999e-05	0.0098	2.191772	2.214166	2.319417	2.536926	1.752563	4.639171	5.968097	3.444226	5.370167	5.643468	3.296527	34.69413	73.2783	28.64577	62.90377	71.19434	5.089243	2.15202	0.717363	0.521064	4	2.213867	2.577271	1.78418	2.424967	2.496582	1.720947	"21.2"	"redox.ascorbate and glutathione"	NA	NA	NA	NA	-4.28830744556251	15.7570393503495	-5.43940555925951
"245248_at"	"At4g15415"	0.013601	0.013601	0.01983	0.4774	6.41661	4.04233	0.00709	0.0221	0.0379	0.9929	-0.2173	-0.09017	-0.10018	-0.25201	-0.10901	0.892108	0.801914	0.889644	0.975599	0.879314	0.966392	0.276949	-9.86121	-10.1102	0.952735	-9.01062	-9.86933	0.711959	0.897869	0.777241	5	-0.16471	-0.31848	-0.1687	-0.03564	-0.18555	-0.04932	"29.4"	"protein.postranslational modification"	NA	NA	NA	NA	8.62682151512291	9.358844444843	9.65190781056323
"245254_at"	"At4g14680"	0.042468	0.042468	0.303321	0.893325	4.5384	62.7569	1.40906	0.049	9.999e-05	0.2731	0.655911	0.844835	0.947347	1.208069	0.095703	1.949651	2.087312	0.961174	1.907229	2.557071	1.188	102.8405	117.1627	7.060775	60.54113	115.2416	34.07256	0.069173	1.210119	1.282519	4	0.963216	1.061646	-0.05713	0.931478	1.354492	0.248535	"14.1"	"S-assimilation.APS"	NA	NA	NA	NA	23.59884890769	-2.17587660560787	22.5054519880114
"245260_at"	"At4g16360"	0.004324	0.004324	0.040894	0.919447	1.31575	78.7788	12.1276	0.2682	9.999e-05	6e-04	0.564602	0.532145	0.609782	0.718323	0.317017	1.585969	1.558345	1.308966	1.468353	1.73704	1.18559	21.16197	19.0516	-1.74178	23.85001	46.51273	18.29852	1.260158	2.407598	2.13676	4	0.665365	0.640015	0.388428	0.554199	0.796631	0.245605	"30.1.1"	"signalling.in sugar and nutrient physiology"	NA	NA	NA	NA	-9.42545490104404	-7.41603398300975	11.4669729745339
"245266_at"	"At4g17070"	0.018709	0.018709	0.286049	0.950168	21.6596	141.365	1.02238	3e-04	9.999e-05	0.3821	-0.83215	-0.55821	-0.413	-0.30548	-1.36707	0.654593	0.747021	0.362396	0.861737	0.87649	0.414723	80.62906	106.1336	14.11987	107.7862	111.3435	1.712007	2.575524	1.525114	1.211878	4	-0.61133	-0.42078	-1.46436	-0.21468	-0.19019	-1.26978	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	14.4391770328591	31.6447013640537	17.3313735490702
"245270_at"	"At4g14960"	0.010721	0.010721	0.117052	0.930213	5.985	103.145	0.3454	0.0264	9.999e-05	0.7131	3.609036	3.500027	3.523519	3.199036	3.94104	11.86537	9.703075	15.7795	11.14522	8.691643	14.95027	-24.8052	-38.5084	-18.2236	-25.4514	-41.863	-22.0146	0.521194	1.342105	0.518192	7	3.568685	3.278442	3.97998	3.478353	3.119629	3.9021	"31.1"	"cell.organisation"	NA	NA	NA	NA	-5.25510947748662	-6.06934297034142	-10.4238295591861
"245284_at"	"At4g14210"	0.019744	0.019744	0.071856	0.790652	1.81195	25.2095	4.2536	0.197	9.999e-05	0.033	1.991089	1.909695	2.22111	1.94635	1.683716	4.943949	4.174623	3.043976	4.397111	3.557972	3.390446	62.41749	37.14376	-15.561	29.69124	4.941113	-19.0839	0.796187	1.470697	0.862995	4	2.305664	2.061646	1.605957	2.136556	1.831055	1.761475	"16.1.4.2"	"secondary metabolism.isoprenoids.carotenoids.phytoene dehydrogenase"	NA	NA	NA	NA	11.3821528159223	-11.0607532561521	-14.7714176825069
"245287_at"	"At4g14910"	0.010831	0.010831	0.102196	0.919248	2.92882	84.2824	5.49951	0.1063	9.999e-05	0.0152	0.922594	0.845947	1.178141	0.984558	0.490112	2.372518	2.130131	1.347626	2.158252	1.838047	1.463888	76.05168	58.06544	-10.2165	47.43285	25.55931	-14.8363	0.894118	1.973332	0.905584	4	1.246419	1.090942	0.43042	1.109863	0.878174	0.549805	"13.1.7.5"	"amino acid metabolism.synthesis.histidine.imidazoleglycerol-phosphate dehydratase"	NA	NA	NA	NA	8.62717104003634	-9.03116435786788	-13.7120205283149
"245291_at"	"At4g16155"	0.062478	0.062478	0.127413	0.626391	6.07518	9.25097	1.36372	0.0254	0.0021	0.2839	1.671319	1.406196	1.727295	1.21991	1.669067	3.814027	2.64532	3.202501	2.874428	2.05107	3.157835	19.09526	-17.3983	-30.6423	-8.97473	-35.0482	-28.6442	1.201685	1.265282	0.040887	5	1.931315	1.403442	1.679199	1.523275	1.036377	1.658936	"11.1.31"	"lipid metabolism.FA synthesis and FA elongation.pyruvate DH"	NA	NA	NA	NA	-1.39472243724514	-24.6353526076244	-22.4642009284321
"245293_at"	"At4g16660"	0.063655	0.063655	0.120825	0.598603	6.95925	6.56005	2.03452	0.0179	0.0083	0.1632	0.578871	0.865289	0.674235	0.971375	0.52063	1.398664	1.658476	1.436646	1.820609	2.318017	1.43252	-2.64385	15.44078	18.57575	27.09136	61.81395	27.32097	1.07879	1.808825	0.008009	6	0.484049	0.729858	0.522705	0.864421	1.212891	0.518555	"20.2.1"	"stress.abiotic.heat"	NA	NA	NA	NA	-0.287196706773977	30.1677171929784	39.7678953448829
"245301_at"	"At4g17190"	0.017767	0.017767	0.481829	0.971905	6.42179	272.208	1.80055	0.0221	9.999e-05	0.1971	0.407322	0.261963	0.248128	-0.39667	1.152466	1.308892	0.799339	2.229528	1.077666	0.72186	2.216361	-41.2929	-64.1476	-38.9301	-51.3768	-67.4304	-33.0164	1.693027	0.859592	0.032036	7	0.388346	-0.32312	1.156738	0.10791	-0.47021	1.148193	"16.1.2.9"	"secondary metabolism.isoprenoids.mevalonate pathway.farnesyl pyrophosphate synthetase"	NA	NA	NA	NA	-0.590573430788945	-17.6657814395687	-9.69288374519448
"245313_at"	"At4g15420"	0.011582	0.011582	0.041663	0.788195	0.28069	25.738	3.86083	0.6035	9.999e-05	0.0428	0.218411	0.242947	0.228109	0.424988	0.03894	1.171893	1.258891	1.067501	1.170704	1.431792	0.988724	9.779068	17.92871	7.423676	18.40549	44.81208	22.30183	0.005724	1.573331	0.781289	4	0.228841	0.332153	0.094238	0.227376	0.517822	-0.01636	"27.1"	"RNA.processing"	NA	NA	NA	NA	-7.37957154138497	-0.1014597749112	13.7343900305904
"245316_at"	"At4g14000"	0.007967	0.007967	0.342777	0.98229	6.2977	437.226	4.1744	0.0232	9.999e-05	0.0348	0.223646	0.127252	-0.02987	-0.36188	0.918091	1.069068	0.794352	1.874802	0.897454	0.762284	1.904541	-42.977	-57.6301	-25.6968	-52.8782	-59.9755	-15.0615	2.49494	0.443383	0.14041	7	0.096354	-0.33215	0.906738	-0.15609	-0.3916	0.929443	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	1.58624750773681	-16.0526739178425	-4.03700122867444
"245318_at"	"At4g16985"	0.033013	0.033013	0.579697	0.956611	0.25464	171.722	4.54216	0.6207	9.999e-05	0.0274	4.06075	4.021294	4.619222	4.461487	3.042358	25.16453	24.42817	7.560371	24.00269	19.86972	8.977166	232.8479	223.1081	-2.92619	167.3749	121.3363	-17.2187	0.185804	1.469369	1.144515	4	4.65332	4.610474	2.918457	4.585124	4.3125	3.16626	"10.5.1"	"cell wall.cell wall proteins.AGPs"	NA	NA	NA	NA	18.7397549670512	-4.61697476567215	-18.660628282839
"245329_at"	"At4g14365"	0.487482	0.487482	6.314247	0.941178	16.145	119.541	0.38371	0.001	9.999e-05	0.6874	-0.30731	0.899957	1.484131	2.235901	-2.83105	1.768579	3.499748	0.085273	4.42498	6.3403	0.231591	1974.01	4004.148	97.88469	1810.689	2637.716	43.28425	1.470746	0.992717	1.998926	4	0.822591	1.807251	-3.55176	2.145671	2.664551	-2.11035	"31.1"	"cell.organisation"	NA	NA	NA	NA	171.587724133078	150.199736624714	81.1644724134423
"245333_at"	"At4g14615"	0.007041	0.007041	0.045159	0.881213	13.8598	49.6635	3.20272	0.0019	9.999e-05	0.0676	1.387465	1.521891	1.310628	1.702698	1.350708	2.317493	3.039087	2.5424	2.654962	3.486448	2.55837	-8.84624	19.53615	31.13684	3.775508	36.27614	31.31821	1.947684	2.380787	0.055076	3	1.212565	1.603638	1.346191	1.408691	1.801758	1.355225	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	0.628146633102573	14.5618131316902	14.7202432835914
"245334_at"	"At4g15800"	0.011302	0.011302	0.927651	0.990718	3.03186	849.04	3.82069	0.1008	9.999e-05	0.044	2.058933	2.13859	2.395589	3.020569	0.880127	4.820578	7.976346	1.881476	5.743671	8.255811	1.800489	156.2125	323.9409	65.46453	219.0061	358.5315	43.73755	1.992105	0.285614	0.386281	4	2.269206	2.995728	0.911865	2.521973	3.04541	0.848389	"30.8"	"signalling.misc"	NA	NA	NA	NA	-4.30443970584796	19.14901076178	3.50367198213316
"245336_at"	"At4g16515"	0.066108	0.066108	0.252571	0.800578	8.61306	24.9693	2.18535	0.0097	9.999e-05	0.1448	-1.00433	-1.32905	-0.69409	-1.6662	-1.13977	0.639413	0.393297	0.492611	0.597496	0.252424	0.418106	29.80087	-20.1608	-38.491	42.90536	-39.6268	-57.753	0.18874	2.545557	0.674464	5	-0.64518	-1.34631	-1.02148	-0.743	-1.98608	-1.25806	"35.2"	"not assigned.unknown"	NA	NA	NA	NA	-15.1245100089117	-6.55554391293264	-35.8184781475577
"245338_at"	"At4g16442"	0.0191	0.0191	0.336752	0.956785	11.0545	169.478	2.22061	0.0043	9.999e-05	0.1409	0.358493	0.160753	0.014404	-0.22418	0.988647	1.096924	0.956389	2.00882	0.930031	0.766294	1.960127	-45.3946	-52.3905	-12.8117	-52.5525	-60.9059	-17.6055	1.292933	2.318805	0.141517	7	0.133464	-0.06433	1.006348	-0.10465	-0.38403	0.970947	"35.1"	"not assigned.no ontology"	NA	NA	NA	NA	-2.42396033492299	-15.2146365655232	-19.8763264738511
"245342_at"	"At4g16720"	0.01143	0.01143	0.280054	0.968905	3.70496	241.969	6.23435	0.0722	9.999e-05	0.01	4.216892	4.128337	4.083089	3.633606	4.801147	18.99728	12.23891	27.65658	15.12074	12.58653	28.10479	-31.3101	-55.7469	-35.5755	-46.1987	-55.2157	-16.7598	2.777681	0.221591	0.117504	7	4.247721	3.613403	4.789551	3.918457	3.653809	4.812744	"29.2.1.2.2.15"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L15"	NA	NA	NA	NA	1.62062699003275	-20.405763351385	2.84028561366984
"245355_at"	"At4g17390"	0.019399	0.019399	0.502802	0.970604	6.12995	258.46	3.3836	0.0249	9.999e-05	0.0595	4.294529	4.146132	4.276774	3.401672	4.982544	22.10761	10.72187	31.88109	16.99545	10.41694	31.35142	-30.656	-66.3692	-51.5014	-45.7905	-66.7736	-38.7075	2.378	0.16866	0.091914	7	4.466471	3.422485	4.994629	4.087077	3.380859	4.970459	"29.2.1.2.2.15"	"protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L15"	NA	NA	NA	NA	-1.66139238024798	-23.1239830990324	-2.84400016041977
"245357_at"	"At4g17560"	0.038273	0.038273	0.162453	0.820498	5.29656	33.0583	1.02871	0.0351	9.999e-05	0.3799	3.454576	3.260824	3.685954	2.890198	3.496948	14.18699	8.148243	11.39826	11.67548	6.745409	11.18237	24.46628	-28.5133	-42.5654	4.409718	-39.6782	-42.2259	1.010723	1.178201	0.073431	5	3.826497	3.026489	3.510742	3.54541	2.753906	3.483154	"29.2.1.1.1.2.19"	"protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L19"	NA	NA	NA	NA	-1.89406102334918	-17.7029094966586	-17.2163986763772
